"COD","DESCRICAO","EAN"
"2185121","OLEO CAP CORPO DOURADO BABOSA 100ML     ","7898610079669"
"2185130","OLEO CAP KERATEX RICINO 60ML            ","7898211382076"
"2185148","OLEO CAP KERATEX ROSA MOSQUETA 60ML     ","7898211383820"
"2185156","CR MULTIF YAMASTEROL ARGAN 320ML        ","7896150018513"
"2185164","CR MULTIF YAMASTEROL BABOSA 320ML       ","7896150000068"
"2174391","ESFOLI.CORP/FACIAL LABOTRAT MELANC 150G ","7898632472820"
"1113496","PICHE LIQUIDO 900-ML RENNA RENNA        ","3000011134968"
"1113500","DESP PINCEL DE PARECE TIPO TRINCHA 3    ","3000011135002"
"1113518","FERROFIX PRETO 3,6 FORTFIX FORTFIX      ","3000011135187"
"216488","PICANHA CONG ESTANCIA 92 KG             ","21648"
"2177390","HAMBURGU C/BANCO 420G FRIAL STEAK BURGER","7908041700510"
"2177404","LINGUICA CONTRA FILE ANGUS 500G FRIBAL  ","7908041710380"
"1116223","DESP CAMISA VERDE EXG                   ","3000011162237"
"1116231","DESP CAMISA VERDE GG                    ","3000011162312"
"216089","PICANHA SUINA FRIELLA TEMP KG           ","21608"
"1121138","DESP DOBR TN CLICK SLOW EASY INOX RETA  ","3000011211386"
"1121146","DESP PERFIL PVC 22MM CINZA FOSSIL CRISTA","3000011211461"
"1121154","DESP PERFIL PVC 22MM RUGGINE B 1251S RL2","3000011211546"
"1121162","DESP PERFIL PVC 64MM PETRA G 1225S  RL20","3000011211621"
"1125460","DESP BALANCA PRIX 5 32KG WEB/WI FI S/TOR","3000011254604"
"2207648","PAPEL TOALHA MALU 20,5X19CM 50FLS       ","7897383500684"
"1128671","DESP VIDEO PORTEIRO IVR4                ","3000011286711"
"2211181","SAND 35/36 TOP VIBES BRANCO BRANCO      ","7909989837542"
"2212161","BATATA FRITA LAYS COPA PICANHA 62G      ","7892840824884"
"2212170","BATATA FRITA LAYS TACO MEXICANO 62G     ","7892840824891"
"2212188","BATATA FRITA LAYS COPA QUEIJO 62G       ","7892840824907"
"2212196","BATATA FRITA SENSACOES PEITO PERU 125G  ","7892840824709"
"2212200","SALG TOSTITOS SAL MARINHO 45G           ","7892840824914"
"2212218","SALGADINHO CHEETOS ONDA REQUEIJAO 60G   ","7892840824563"
"1110322","DESP EMB G-14 2 DOCES C/100             ","3000011103223"
"2187736","CHOC BARRA LACTA AO LEITE 50,1G         ","7622202274541"
"2187736","CHOC BARRA LACTA AO LEITE 50,1G         ","7622202274558"
"2187744","CHOC BARRA LACTA LAKA 50,1G             ","7622202274602"
"2187744","CHOC BARRA LACTA LAKA 50,1G             ","7622202274619"
"2187752","CHOC BARRA LACTA SHOT 50,1G             ","7622202303562"
"2187752","CHOC BARRA LACTA SHOT 50,1G             ","7622202303579"
"2187760","BISC RECH OREO SELENA CHO/CANE/LEITE 90G","7622202323614"
"1124722","DESP CADEIRA DIMMY SB TAURAI NOCE FOSCO ","3000011247224"
"1124730","DESP MESA JANTAR PARATY 1600MM VERNIZ   ","3000011247309"
"1124749","DESP MESA JANTAR ALICE 1500MM VERNIZ    ","3000011247491"
